Es,Einsteinium,N/A,252,0,0
Fm,Fermium,N/A,257,0,0
Md,Mendelevium,N/A,258,0,0
No,Nobelium,N/A,259,0,0
Lr,Lawrencium,N/A,262,0,0
Rf,Rutherfordium,N/A,267,0,0
Db,Dubnium,N/A,270,0,0
Sg,Seaborgium,N/A,269,0,0
Bh,Bohrium,N/A,270,0,0
Hs,Hassium,N/A,270,0,0
Mt,Meitnerium,N/A,278,0,0
Ds,Darmstadtium,N/A,281,0,0
Rg,Roentgenium,N/A,281,0,0
Cn,Copernicium,N/A,285,0,0
Nh,Nihonium,N/A,286,0,0
Fl,Flerovium,N/A,289,0,0
Mc,Moscovium,N/A,289,0,0
Lv,Livermorium,N/A,293,0,0
Ts,Tennessine,N/A,293,0,0
Og,Oganesson,N/A,294,0,0
